ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"10,712,674",13.62%
Grand Canyon NP,2,"5,520,736",7.02%
Rocky Mountain NP,3,"4,155,916",5.29%
Yosemite NP,4,"4,150,217",5.28%
Yellowstone NP,5,"4,097,710",5.21%
Zion NP,6,"3,648,846",4.64%
Olympic NP,7,"3,263,761",4.15%
Grand Teton NP,8,"3,149,921",4.01%
Acadia NP,9,"2,811,184",3.58%
Glacier NP,10,"2,366,056",3.01%
Cuyahoga Valley NP,11,"2,284,612",2.91%
Joshua Tree NP,12,"2,025,756",2.58%
Hawaii Volcanoes NP,13,"1,832,660",2.33%
Bryce Canyon NP,14,"1,745,804",2.22%
Gateway Arch NP,15,"1,698,656",2.16%
Indiana Dunes NP,16,"1,640,195",2.09%
Hot Springs NP,17,"1,418,162",1.80%
Arches NP,18,"1,399,247",1.78%
Shenandoah NP,19,"1,321,873",1.68%
Mount Rainier NP,20,"1,237,231",1.57%
Haleakala NP,21,"1,216,772",1.55%
Death Valley NP,22,"1,154,843",1.47%
Sequoia NP,23,"1,097,464",1.40%
Everglades NP,24,"1,077,427",1.37%
Badlands NP,25,"989,354",1.26%
Capitol Reef NP,26,"941,029",1.20%
Petrified Forest NP,27,"793,225",1.01%
Saguaro NP,28,"753,446",0.96%
Canyonlands NP,29,"634,607",0.81%
Crater Lake NP,30,"614,712",0.78%
Wind Cave NP,31,"612,198",0.78%
Theodore Roosevelt NP,32,"580,033",0.74%
Mammoth Cave NP,33,"566,895",0.72%
Denali NP & PRES,34,"560,757",0.71%
Glacier Bay NP & PRES,35,"551,353",0.70%
Mesa Verde NP,36,"547,325",0.70%
Redwood NP,37,"527,143",0.67%
Biscayne NP,38,"508,164",0.65%
Kings Canyon NP,39,"468,106",0.60%
Lassen Volcanic NP,40,"468,092",0.60%
Carlsbad Caverns NP,41,"445,720",0.57%
Virgin Islands NP,42,"438,372",0.56%
Big Bend NP,43,"381,747",0.49%
Channel Islands NP,44,"324,816",0.41%
Great Sand Dunes NP & PRES,45,"299,513",0.38%
Kenai Fjords NP,46,"296,697",0.38%
Voyageurs NP,47,"238,313",0.30%
Black Canyon of the Gunnison NP,48,"209,166",0.27%
Pinnacles NP,49,"206,533",0.26%
Guadalupe Mountains NP,50,"169,535",0.22%
Great Basin NP,51,"116,123",0.15%
Congaree NP,52,"87,513",0.11%
Wrangell-St. Elias NP & PRES,53,"80,366",0.10%
Dry Tortugas NP,54,"70,862",0.09%
Katmai NP & PRES,55,"37,818",0.05%
North Cascades NP,56,"20,677",0.03%
Isle Royale NP,57,"18,684",0.02%
Lake Clark NP & PRES,58,"17,818",0.02%
National Park of American Samoa,59,"13,892",0.02%
Gates of the Arctic NP & PRES,60,"10,745",0.01%
