ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"10,175,812",14.16%
Grand Canyon NP,2,"4,460,228",6.21%
Gateway Arch NP,3,"3,458,956",4.81%
Yosemite NP,4,"3,400,903",4.73%
Olympic NP,5,"3,327,722",4.63%
Cuyahoga Valley NP,6,"3,324,918",4.63%
Rocky Mountain NP,7,"3,185,392",4.43%
Yellowstone NP,8,"2,838,233",3.95%
Grand Teton NP,9,"2,590,624",3.60%
Acadia NP,10,"2,469,238",3.44%
Zion NP,11,"2,432,348",3.38%
Indiana Dunes NP,12,"1,820,228",2.53%
Mammoth Cave NP,13,"1,749,268",2.43%
Glacier NP,14,"1,728,693",2.41%
Haleakala NP,15,"1,620,083",2.25%
Hawaii Volcanoes NP,16,"1,514,636",2.11%
Shenandoah NP,17,"1,419,579",1.98%
Mount Rainier NP,18,"1,344,833",1.87%
Hot Springs NP,19,"1,338,156",1.86%
Joshua Tree NP,20,"1,233,935",1.72%
Death Valley NP,21,"1,179,094",1.64%
Badlands NP,22,"1,105,824",1.54%
Bryce Canyon NP,23,"1,099,275",1.53%
Everglades NP,24,"995,390",1.38%
Sequoia NP,25,"838,947",1.17%
Arches NP,26,"786,429",1.09%
Saguaro NP,27,"765,195",1.06%
Virgin Islands NP,28,"703,992",0.98%
Wind Cave NP,29,"668,507",0.93%
Capitol Reef NP,30,"612,656",0.85%
Petrified Forest NP,31,"605,192",0.84%
Kings Canyon NP,32,"528,987",0.74%
Channel Islands NP,33,"482,571",0.67%
Carlsbad Caverns NP,34,"469,303",0.65%
Mesa Verde NP,35,"452,287",0.63%
Theodore Roosevelt NP,36,"431,813",0.60%
Crater Lake NP,37,"426,883",0.59%
Canyonlands NP,38,"401,558",0.56%
Biscayne NP,39,"393,151",0.55%
Glacier Bay NP & PRES,40,"384,684",0.54%
Redwood NP,41,"383,253",0.53%
Lassen Volcanic NP,42,"374,911",0.52%
Denali NP & PRES,43,"363,983",0.51%
Big Bend NP,44,"262,320",0.36%
Great Sand Dunes NP & PRES,45,"260,789",0.36%
Kenai Fjords NP,46,"254,790",0.35%
Voyageurs NP,47,"227,371",0.32%
Guadalupe Mountains NP,48,"198,762",0.28%
Black Canyon of the Gunnison NP,49,"191,506",0.27%
Pinnacles NP,50,"162,110",0.23%
Congaree NP,51,"95,619",0.13%
Dry Tortugas NP,52,"83,704",0.12%
Great Basin NP,53,"81,045",0.11%
Katmai NP & PRES,54,"71,389",0.10%
Wrangell-St. Elias NP & PRES,55,"28,331",0.04%
North Cascades NP,56,"25,704",0.04%
Isle Royale NP,57,"21,096",0.03%
Gates of the Arctic NP & PRES,58,"11,278",0.02%
Lake Clark NP & PRES,59,"6,493",0.01%
Kobuk Valley NP,60,"2,646",0.00%
